timestamp,mac,rssi,origem
2025-04-05 15:31:12.052540,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:12.057645,22:55:7e:84:10:17,-64.0,-64 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:12.134527,a0:de:0f:60:67:8d,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:12.790816,00:e0:20:5c:07:c5,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.035154,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.035354,dc:4f:22:fa:54:46,-74.0,-74 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.046565,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.050021,e6:fb:5a:17:eb:b7,-65.0,-65 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.053274,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.137792,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.163611,22:55:7e:84:10:17,-74.0,-74 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.463079,52:9f:14:d9:81:25,-73.0,-73 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.567878,a0:de:0f:60:67:8d,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.603087,50:8a:06:fc:81:4d,-54.0,-54 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:13.622249,b8:c6:aa:72:e5:fa,-41.0,-41 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.006146,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.022210,22:55:7e:84:10:17,-76.0,-76 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.025661,52:9f:14:d9:81:25,-74.0,-74 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.059133,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.070522,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.095308,30:cc:21:14:be:83,-19.0,-19 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.157078,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.168207,dc:4f:22:fa:54:46,-77.0,-77 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:14.284451,a0:de:0f:60:67:8d,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.001172,dc:4f:22:fa:54:46,-74.0,-74 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.011942,22:55:7e:84:10:17,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.012308,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.012373,52:9f:14:d9:81:25,-78.0,-78 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.022124,30:cc:21:14:be:83,-17.0,-17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.032786,50:8a:06:fc:81:4d,-57.0,-57 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.065609,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.066509,f0:a8:82:56:94:ae,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.099928,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.737352,a0:de:0f:60:67:88,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.761071,00:e0:20:5c:07:c5,-80.0,-80 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:15.820490,a0:de:0f:60:67:8d,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.004788,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.016167,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.025200,dc:4f:22:fa:54:46,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.046107,30:cc:21:14:be:83,-17.0,-17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.165624,52:9f:14:d9:81:25,-76.0,-76 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.281764,54:4b:54:24:74:37,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.312316,22:55:7e:84:10:17,-67.0,-67 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.456165,6e:b5:d7:6d:c9:fa,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.475549,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:16.845841,a0:de:0f:60:67:8d,-81.0,-81 dBm | Origem: Cliente desconhecido
